step,S,E,I,R,inc,beta,Rt
230,7248,0,0,92752,0,0.625,0.1812
231,7248,0,0,92752,0,0.625,0.1812
232,7248,0,0,92752,0,0.625,0.1812
233,7248,0,0,92752,0,0.625,0.1812
234,7248,0,0,92752,0,0.625,0.1812
235,7248,0,0,92752,0,0.625,0.1812
236,7248,0,0,92752,0,0.625,0.1812
237,7248,0,0,92752,0,0.625,0.1812
238,7248,0,0,92752,0,0.625,0.1812
239,7248,0,0,92752,0,0.625,0.1812
240,7248,0,0,92752,0,0.625,0.1812
241,7248,0,0,92752,0,0.625,0.1812
242,7248,0,0,92752,0,0.625,0.1812
243,7248,0,0,92752,0,0.625,0.1812
244,7248,0,0,92752,0,0.625,0.1812
245,7248,0,0,92752,0,0.625,0.1812
246,7248,0,0,92752,0,0.625,0.1812
247,7248,0,0,92752,0,0.625,0.1812
248,7248,0,0,92752,0,0.625,0.1812
249,7248,0,0,92752,0,0.625,0.1812
250,7248,0,0,92752,0,0.625,0.1812
